# Oracle Linux 5

## Sustaining Support

Enterprise Linux 5 Latest (i386)	el5_i386_latest	All packages released for Enterprise Linux 5 (i386), including the very latest updated packages	4205
Enterprise Linux 5 Latest (x86_64)	el5_x86_64_latest	All packages released for Enterprise Linux 5 (x86_64), including the very latest updated packages	4732
Enterprise Linux 5 Add ons (i386)	el5_i386_addons	Enterprise Linux 5 Add ons (i386)	60
Enterprise Linux 5 Add ons (x86_64)	el5_x86_64_addons	Enterprise Linux 5 Add ons (x86_64)	72
Productivity Applications for Enterprise Linux 5 (i386)	el5_unsupported_i386_latest	All packages released for Productivity Applications (i386) - Unsupported	154
RDS packages for Enterprise Linux 5 (i386)	el5_rds_i386_latest	All RDS packages released for Enterprise Linux 5 (i386)	160

Oracle Linux 5 Latest (i386)	ol5_i386_latest	All packages released for Oracle Linux 5 (i386), including the very latest updated packages	3800
Oracle Linux 5 Latest (x86_64)	ol5_x86_64_latest	All packages required for Unbreakable Enterprise Kernel including	4413

Unbreakable Enterprise Kernel for Oracle Linux 5 (i386)	ol5_i386_UEK_base	Unbreakable Enterprise Kernel for Oracle Linux 5 (i386) released on the install media.	14
Unbreakable Enterprise Kernel for Oracle Linux 5 (x86_64)	ol5_x86_64_UEK_base	Unbreakable Enterprise Kernel for Oracle Linux 5 (x86_64) released on the install media.	14
Latest Unbreakable Enterprise Kernel for Oracle Linux 5 (i386)	ol5_i386_UEK_latest	Latest Unbreakable Enterprise Kernel packages for Oracle Linux 5 (i386)	14
Latest Unbreakable Enterprise Kernel for Oracle Linux 5 (x86_64)	ol5_x86_64_UEK_latest	Latest Unbreakable Enterprise Kernel packages for Oracle Linux 5 (x86_64)	14
Ksplice for Oracle Linux 5 (i386)	ol5_i386_ksplice	Oracle Ksplice clients, updates, and dependencies for Oracle Linux 5 (i386).	595
Ksplice for Oracle Linux 5 (x86_64)	ol5_x86_64_ksplice	Oracle Ksplice clients, updates, and dependencies for Oracle Linux 5 (x86_64).	462

Spacewalk Client 2.6 for Oracle Linux 5 (i386)	ol5_i386_spacewalk26_client	All Spacewalk Client 2.6 packages released for Oracle Linux 5 (i386).	27
Spacewalk Client 2.6 for Oracle Linux 5 (x86_64)	ol5_x86_64_spacewalk26_client	All Spacewalk Client 2.6 packages released for Oracle Linux 5 (x86_64).	27
Spacewalk Client 2.7 for Oracle Linux 5 (i386)	ol5_i386_spacewalk27_client	All Spacewalk Client 2.7 packages released for Oracle Linux 5 (i386).	24
Spacewalk Client 2.7 for Oracle Linux 5 (x86_64)	ol5_x86_64_spacewalk27_client	All Spacewalk Client 2.7 packages released for Oracle Linux 5 (x86_64).	24

Oracle Linux 5 ELS (i386)	ol5_i386_ELS	All packages released for Oracle Linux 5 Extended Lifecycle Support (i386).	105
Oracle Linux 5 ELS (x86_64)	ol5_x86_64_ELS	All packages released for Oracle Linux 5 Extended Lifecycle Support (x86_64).	99
Latest Unbreakable Enterprise Kernel for Oracle Linux 5 - ELS (i386)	ol5_i386_UEK_ELS	Latest Unbreakable Enterprise Kernel packages for Oracle Linux 5 - ELS (i386)	6
Latest Unbreakable Enterprise Kernel for Oracle Linux 5 - ELS (x86_64)	ol5_x86_64_UEK_ELS	Latest Unbreakable Enterprise Kernel packages for Oracle Linux 5 - ELS (x86_64)	6
Ksplice for Oracle Linux 5 - ELS (i386)	ol5_i386_ksplice_ELS	Oracle Ksplice updates for Oracle Linux 5 - ELS (i386).	266
Ksplice for Oracle Linux 5 - ELS (x86_64)	ol5_x86_64_ksplice_ELS	Oracle Ksplice updates for Oracle Linux 5 - ELS (x86_64).	231

## Installation Media Packages

Enterprise Linux 5 (i386) installation media copy	el5_ga_i386_base	All packages released on the Enterprise Linux 5 (i386) installation media. This channel does not contain updates	2121
Enterprise Linux 5 (x86_64) installation media copy	el5_ga_x86_64_base	All packages released on the Enterprise Linux 5 (x86_64) installation media. This channel does not contain updates	2804
Enterprise Linux 5 Update 1 (i386) installation media copy	el5_u1_i386_base	All packages released on the Enterprise Linux 5 update 1 (i386) installation media. This channel does not contain updates	2173
Enterprise Linux 5 Update 1 (x86_64) installation media copy	el5_u1_x86_64_base	All packages released on the Enterprise Linux 5 update 1 (x86_64) installation media. This channel does not contain updates	2869
Enterprise Linux 5 Update 2 installation media copy (i386)	el5_u2_i386_base	All packages released on the Enterprise Linux 5 update 2 (i386) installation media. This channel does not contain updates.	2237
Enterprise Linux 5 Update 2 installation media copy (x86_64)	el5_u2_x86_64_base	All packages released on the Enterprise Linux 5 update 2 (x86_64) installation media. This channel does not contain updates.	2957
Enterprise Linux 5 Update 3 installation media copy (i386)	el5_u3_i386_base	All packages released on the Enterprise Linux 5 update 3 (i386) installation media. This channel does not contain updates.	2278
Enterprise Linux 5 Update 3 installation media copy (x86_64)	el5_u3_x86_64_base	All packages released on the Enterprise Linux 5 update 3 (x86_64) installation media. This channel does not contain updates.	3008
Enterprise Linux 5 Update 4 installation media copy (i386)	el5_u4_i386_base	All packages released on the Enterprise Linux 5 update 4 (i386) installation media. This channel does not contain updates.	2316
Enterprise Linux 5 Update 4 installation media copy (x86_64)	el5_u4_x86_64_base	All packages released on the Enterprise Linux 5 update 4 (x86_64) installation media. This channel does not contain updates.	3095
Enterprise Linux 5 Update 5 installation media copy (i386)	el5_u5_i386_base	All packages released on the Enterprise Linux 5 update 5 (i386) installation media. This channel does not contain updates.	2372
Enterprise Linux 5 Update 5 installation media copy (x86_64)	el5_u5_x86_64_base	All packages released on the Enterprise Linux 5 update 5 (x86_64) installation media. This channel does not contain updates.	3173
Oracle Linux 5 Update 6 installation media copy (i386)	ol5_u6_i386_base	All packages released on the Oracle Linux 5 Update 6 (i386) installation media. This channel does not contain updates.	2457
Oracle Linux 5 Update 6 installation media copy (x86_64)	ol5_u6_x86_64_base	All packages released on the Oracle Linux 5 Update 6 (x86_64) installation media. This channel does not contain updates.	3305
Oracle Linux 5 Update 7 installation media copy (i386)	ol5_u7_i386_base	All packages released on the Oracle Linux 5 update 7 (i386) installation media. This channel does not contain updates.	2510
Oracle Linux 5 Update 7 installation media copy (x86_64)	ol5_u7_x86_64_base	All packages released on the Oracle Linux 5 update 7 (x86_64) installation media. This channel does not contain updates.	3333
Oracle Linux 5 Update 8 installation media copy (i386)	ol5_u8_i386_base	All packages released on the Oracle Linux 5 update 8 (i386) installation media. This channel does not contain updates.	2527
Oracle Linux 5 Update 8 installation media copy (x86_64)	ol5_u8_x86_64_base	All packages released on the Oracle Linux 5 update 8 (x86_64) installation media. This channel does not contain updates.	3357
Oracle Linux 5 Update 9 installation media copy (i386)	ol5_u9_i386_base	All packages released on the Oracle Linux 5 update 9 (i386) installation media. This channel does not contain updates.	2563
Oracle Linux 5 Update 9 installation media copy (x86_64)	ol5_u9_x86_64_base	All packages released on the Oracle Linux 5 update 9 (x86_64) installation media. This channel does not contain updates.	3398
Oracle Linux 5 Update 10 installation media copy (i386)	ol5_u10_i386_base	All packages released on the Oracle Linux 5 update 10 (i386) installation media. This channel does not contain updates.	2583
Oracle Linux 5 Update 10 installation media copy (x86_64)	ol5_u10_x86_64_base	All packages released on the Oracle Linux 5 update 10 (x86_64) installation media. This channel does not contain updates.	3419
Oracle Linux 5 Update 11 installation media copy (i386)	ol5_u11_i386_base	All packages released on the Oracle Linux 5 update 11 (i386) installation media. This channel does not contain updates.	2585
Oracle Linux 5 Update 11 installation media copy (x86_64)	ol5_u11_x86_64_base	All packages released on the Oracle Linux 5 update 11 (x86_64) installation media. This channel does not contain updates.	3424

Enterprise Linux 5 GA Patches (i386)	el5_ga_i386_patch	Updated packages published after release of Enterprise Linux 5 (i386)	298
Enterprise Linux 5 GA Patches (x86_64)	el5_ga_x86_64_patch	Updated packages published after release of Enterprise Linux 5 (x86_64)	353
Enterprise Linux 5 Update 1 Patch (i386)	el5_u1_i386_patch	Updated packages published after release of Enterprise Linux 5 Update 1 (i386)	329
Enterprise Linux 5 Update 1 Patch (x86_64)	el5_u1_x86_64_patch	Updated packages published after release of Enterprise Linux 5 Update 1 (x86_64)	404
Enterprise Linux 5 Update 2 Patch (i386)	el5_u2_i386_patch	Updated packages published after release of Enterprise Linux 5 Update 2 (i386)	373
Enterprise Linux 5 Update 2 Patch (x86_64)	el5_u2_x86_64_patch	Updated packages published after release of Enterprise Linux 5 Update 2 (x86_64)	435
Enterprise Linux 5 Update 3 Patch (i386)	el5_u3_i386_patch	Updated packages published after release of Enterprise Linux 5 Update 3 (i386)	322
Enterprise Linux 5 Update 3 Patch (x86_64)	el5_u3_x86_64_patch	Updated packages published after release of Enterprise Linux 5 Update 3 (x86_64)	389
Enterprise Linux 5 Update 4 Patch (i386)	el5_u4_i386_patch	Updated packages published after release of Enterprise Linux 5 Update 4 (i386)	372
Enterprise Linux 5 Update 4 Patch (x86_64)	el5_u4_x86_64_patch	Updated packages published after release of Enterprise Linux 5 Update 4 (x86_64)	477
Enterprise Linux 5 Update 5 Patch (i386)	el5_u5_i386_patch	Updated packages published after release of Enterprise Linux 5 Update 5 (i386)	530
Enterprise Linux 5 Update 5 Patch (x86_64)	el5_u5_x86_64_patch	Updated packages published after release of Enterprise Linux 5 Update 5 (x86_64)	649
Oracle Linux 5 Update 5 Patch (x86_64)	ol5_u5_x86_64_patch	All Packages Required for Unbreakable Enterprise Kernel including updates (x86_64)	46
Oracle Linux 5 Update 6 Patch (i386)	ol5_u6_i386_patch	Updated packages published after release of Oracle Linux 5 Update 6 (i386).	390
Oracle Linux 5 Update 6 Patch (x86_64)	ol5_u6_x86_64_patch	Updated packages published after release of Oracle Linux 5 Update 6 (x86_64).	503
Oracle Linux 5 Update 7 Patch (i386)	ol5_u7_i386_patch	Updated packages published after release of Oracle Linux 5 Update 7 (i386)	442
Oracle Linux 5 Update 7 Patch (x86_64)	ol5_u7_x86_64_patch	Updated packages published after release of Oracle Linux 5 Update 7 (x86_64)	521
Oracle Linux 5 Update 8 Patch (i386)	ol5_u8_i386_patch	Updated packages published after release of Oracle Linux 5 Update 8 (i386)	579
Oracle Linux 5 Update 8 Patch (x86_64)	ol5_u8_x86_64_patch	Updated packages published after release of Oracle Linux 5 Update 8 (x86_64)	645
Oracle Linux 5 Update 9 Patch (i386)	ol5_u9_i386_patch	Updated packages published after release of Oracle Linux 5 Update 9 (i386)	433
Oracle Linux 5 Update 9 Patch (x86_64)	ol5_u9_x86_64_patch	Updated packages published after release of Oracle Linux 5 Update 9 (x86_64)	475
Oracle Linux 5 Update 10 Patch (i386)	ol5_u10_i386_patch	Updated packages published after release of Oracle Linux 5 Update 10 (i386)	462
Oracle Linux 5 Update 10 Patch (x86_64)	ol5_u10_x86_64_patch	Updated packages published after release of Oracle Linux 5 Update 10 (x86_64)	490
Oracle Linux 5 Update 11 Patch (i386)	ol5_u11_i386_patch	Updated packages published after release of Oracle Linux 5 Update 11 (i386)	589
Oracle Linux 5 Update 11 Patch (x86_64)	ol5_u11_x86_64_patch	Updated packages published after release of Oracle Linux 5 Update 11 (x86_64)	582

## Exadata

Packages for Oracle Exadata (i386)	el5_exadata_i386_latest	Linux Packages required for Oracle Exadata (i386)	6
